Work,Range,Notes
"Swap light fixture (existing box, you supply)",$135–$235,Per fixture. Standard ceiling height. Chandeliers and large fixtures see below.
"Chandelier install (under 50 lbs, 9ft ceiling)",$235–$425,"Verifies fan-rated box, assembly, hang, level."
"Chandelier, vaulted / 2-story foyer",$485–$985,Lift or scaffold required. Ceiling height and access dictate the range.
Ceiling fan swap (existing fan-rated box),$185–$295,Per fan. Includes balance and remote pairing if applicable.
"New ceiling fan, no existing box, attic access",$385–$685,"Cut ceiling, install fan-rated brace box, run wire, switch."
"New ceiling fan, no attic access",$585–$985,"Working from below, more invasive cuts."
"Recessed can light, attic access (each)",$165–$285,"4"" or 6"" airtight LED can. Cuts ceiling, runs wire, trims."
"Recessed can light, no attic access (each)",$285–$485,Working blind from below. Includes minor drywall patch.
Run of 4–6 cans in one room (attic access),"$725–$1,485","Per room, single dimmer, layout consult, balanced spacing."
Under-cabinet LED lighting,$385–$885,"Per kitchen run. Hardwired, dimmable, transformer hidden."
Closet light with door switch,$285–$485,"Per closet. LED panel, door-activated jamb switch."
"Pendant lights over island (each, with wire run)",$235–$485,Per pendant. Discount when multiple are run together.
Track lighting head replacement,$115–$185,Per head. Full track install priced separately.
